p_range_end,p_side,p_buf_atr,p_atr_n,p_stop_mode,p_stop_atr,p_stop_pts,p_tgt_mode,p_tgt_r,p_tgt_pts,p_flat_m,p_be_pts,p_be_off,p_ma_mode,p_cross_min,p_m200_form,p_x_mode,p_conf,p_conf_tol,r_sharpe,r_sortino,r_pf,r_tot,r_n,r_tpy,r_retdd,ok,h_sharpe,h_sortino,h_pf,h_tot,h_n,h_retdd
570,both,0.0,50,range,0.6369457515269141,190.1509523026337,none,7.318462811650485,74.9385421597188,960,25.0,10.0,state,150,state,off,off,0.5,-0.17392846273910542,-0.3385741590624301,0.9449823607607082,-5.531290957352551,1179,190.96662971175166,-0.4457637719325176,True,-1.0674150097219042,-1.6961358039061165,0.7300887301579876,-10.4691027732539,514,-0.8966094180149069
570,long,0.2,10,atr,2.2843439331984365,107.61519868746093,points,6.311752818605129,323.64651279345566,960,75.0,0.0,off,30,state,state,confluence,0.25,0.18326552714128597,0.3700603888366119,1.193963764826418,1.38231847325808,78,12.633924611973391,0.5525446583841177,False,-0.04120625454427334,-0.07131970427857166,0.9637005588471018,-0.14930040870720512,36,-0.07477548605860537
555,short,0.1,7,range,1.4255141795198438,207.8664647988093,none,0.7664660362277251,130.57518169318516,960,0.0,5.0,200any,75,state,off,through,0.25,-0.5200925478419274,-0.8829959792792658,0.8132868098616371,-20.012883801822618,524,84.8740576496674,-0.7956816938575769,False,-1.0067091514398505,-1.6150867922460947,0.6992019962361457,-11.802096305216626,244,-0.966089691426407
555,short,0.0,10,range,5.574317341928762,130.19056320570428,points,0.9624899762740148,304.3088776306786,960,0.0,3.0,state,150,state,state,off,0.5,-0.3703174867485777,-0.6383900139455118,0.8785059163949095,-10.66291697713913,504,81.63458980044346,-0.7308513837289692,False,-1.250368365080348,-1.7605735049959188,0.6478759425346109,-12.338765763903726,211,-0.9203507306567429
570,both,0.1,30,atr,4.644351852866047,179.47868041894102,none,7.889147415346599,68.39276897848953,960,100.0,0.0,off,150,cross,cross,confluence,1.0,0.12794912889090887,0.22880896512227628,1.057802022761888,3.907163610849718,403,65.27527716186253,0.5626155923935925,False,-0.14970839081896378,-0.2352429874561465,0.9428546095083913,-1.3198739199627307,186,-0.27985567649288523
570,both,0.3,14,range,4.447000394773418,51.89151959392727,points,6.746550595531354,114.18879013859596,960,50.0,3.0,200any,150,cross,state,confluence,1.0,-0.5197267417260296,-0.7266761446840205,0.8523370588212128,-8.125678912616426,588,95.24035476718403,-0.9090147252697286,False,0.1780335620285588,0.26002348622012805,1.0547251331210359,1.083088139446329,269,0.37745737585154293
555,long,0.3,7,points,0.523432077157829,154.73143943413834,points,1.8425405512604134,264.0563417525536,960,75.0,5.0,200all,150,state,cross,off,1.0,0.38675975646943234,0.6278160184721218,1.1159110002146626,11.373177674752945,734,118.88847006651885,1.2064836708796611,True,-0.05510441200468641,-0.08670388716375643,0.9849986623219654,-0.5704544202639967,299,-0.10041724287238332
555,both,0.3,14,range,3.8279889646065146,121.99063457931015,r,1.5315329017698192,118.25569980893822,960,150.0,0.0,200all,75,cross,off,behind,0.25,0.03949349595610846,0.07266557661461118,1.0346882416734047,0.38005648797923275,80,12.957871396895786,0.18104982563094704,False,-0.6822523648147972,-0.8816481411270588,0.5928776473923023,-1.94698642547424,36,-0.7382451621635213
555,long,0.3,14,range,3.3349654065601024,250.68324199809595,points,1.6180928740066736,210.63852489841625,960,50.0,3.0,200all,75,cross,state,off,0.25,-0.3220696683202142,-0.3818531309985825,0.45976487287460205,-0.9330435077058223,7,1.1338137472283814,-0.6800310937057049,False,-9.0,-9.0,0.0,0.0,0,-9.0
570,long,0.3,30,points,1.243795543527003,55.18415776577033,points,3.772983595797165,71.44340402259607,960,100.0,5.0,200all,30,cross,state,through,0.25,-0.03970399794670065,-0.05662856534281516,0.9548178015011908,-0.11132734196320604,28,4.535254988913525,-0.11846564975174306,False,-0.5721893007615585,-0.7218901425207375,0.5494381591332356,-0.49733758538837436,14,-0.6730664833526958
555,both,0.2,7,points,0.5098620325190657,103.33955334160694,points,4.876738035470965,367.50885613117725,960,75.0,5.0,200all,75,state,cross,off,1.0,0.025463089501513474,0.04720227461945932,1.0058783712779449,1.0103001904775506,1261,204.24844789356985,0.06592188870786106,True,-0.8139941079207313,-1.4272499267222152,0.8368106489708138,-10.415370494564687,527,-0.8912361672809789
555,long,0.3,14,points,1.0238981539030914,124.10778245297578,points,3.116114135132806,245.85863697868606,960,150.0,5.0,state,150,state,cross,off,1.0,0.36554659411789936,0.6084050009117384,1.094964421706659,11.919757178758253,769,124.55753880266076,1.026249916084404,True,-0.3496608753566824,-0.569912629471048,0.9214461396727995,-3.962590213813636,318,-0.36503313425653794
555,long,0.0,14,points,0.9754497156917868,116.9834172254857,points,0.8006313826669889,334.67746293869004,960,150.0,10.0,state,150,state,cross,off,0.5,0.41201184234198485,0.7264893993149469,1.110471826947326,14.033448954447788,791,128.1209534368071,1.532919552172211,True,-0.29780363275436544,-0.520242155718267,0.9318066935609903,-3.6406932606152567,329,-0.4001524200226156
555,short,0.0,14,points,1.0013664161017422,57.046827126527496,r,1.9838765857210214,337.6733403590073,960,150.0,0.0,state,150,cross,cross,off,0.5,-0.6976762846634188,-1.093442941052,0.8417389737750828,-13.28170796983932,644,104.31086474501109,-0.8234399698239522,True,-1.2187651917855884,-1.8752456799202566,0.7493043622333044,-7.016451808910361,260,-0.9467966068224782
